sentence,translation
伊吃牢我。,He’s staring at me.
今天天特热。,It's especially hot today.
予观夫巴陵胜状，在洞庭一湖。,"I look at the best state of Baling, at the Dongting Lake."
渠毛笔字写得危险狠。,She is extremely deft at brush calligraphy.
风吹得很猛。,The wind is blowing very hard.
伊犹咧困。,He is still sleeping.
这位男孩被拥立为王。,The boy was proclaimed king.
百兽之王是狮子还是老虎？,Is the lion or the tiger the king of beasts?
任意竞赛图都有一个王。,In every tournament there exists a king.
我们班有三十个同学。,There are thirty students in our class.
可是一班别有心肠的人们，便竭力来阻遏它，要使孩子的世界中，没有一丝乐趣。,
下一班车什么时候到？,What time is the next bus?
他们不理我。,They are ignoring me.
我学过两年琴。,I learned to play the piano for two years.
你再这么淘气，非把屁股摔成八瓣儿不可！,"If you keep on being this naughty, you'll fall down and split your butt into eight pieces!"
这些糖果好甜啊！,These candies are so sweet!
日子过得很甜吗？,Have you been leading a happy life?
他妻子生了一对双胞胎女孩。,His wife gave birth to twin girls.
他生在中国。,He was born in China.
那光是真光，照亮一切生在世上的人。,"That was the true Light, which lighteth every man that cometh into the world."
你作为全日制生必须定期上课。,"As a full-time student, you should attend classes on a regular basis."
我觉得呢块肉仲系太生。,I think this piece of meat is too raw.
我生了什么病？,What disease have I got?
母亲没有生炉子。,Mother did not light the stove.
你会不会用电脑？,Can you use a computer?
我用海绵来吸水。,I used a sponge to draw the water.
是喝茶的时间啦，请用一杯茶吧！,It is tea time. Please have a cup of tea!
我用筷子吃饭。,I eat food with chopsticks.
我用湿抹布擦桌子。,I wash the table with a wet cloth.
我老板用姓称呼我。,My boss calls me by my last name.
不用急，慢慢来。,No need to hurry. Please take it easy.
他被女友甩了。,He was dumped by his girlfriend.
算了吧，我送给你一碗茶喝，你就甭卖那套生意口啦！,Save your words. I'll give you a cup of tea for free. You needn't smooth talk me!
请由侧门出入。,Please enter and exit via the side door.
这件事由我来处理吧。,Let me handle this matter.
本书由三部分组成。,This book is composed of three parts.
由他去吧！,Let him do as he pleases!
今仔日寒甲。,Today's really cold.
山珍海味，啤露甲威士忌，咱坐乎圆圆，大家大赚钱。,"A feast of great food, beer and whisky, let's sit around and earn big money."
你可以给我留个电话吗？,Can you give me your phone number?
让我来当你的助手吧。,Let me be your assistant.
当我五岁时，我的母亲突然得病身亡。,"When I was five, my mother suddenly fell ill and died."
云长提华雄之头，掷于地上，其酒当温。,Yunchang's wine was still warm when he threw Hua Xiong's head on the ground.
言乱极当治，天必将使夫子得位设教，不久失位也。,
你从不把我当自己人。,You never treat me like one of your own.
你真当我不知道么？,You really think I don't know?
我姥姥病了。,My grandma got sick.
我呢度好痕。,It's really itchy right here.
他瘦了五公斤。,He lost five kilograms.
我这儿很痒。,I'm itchy here.
伊这气咧发。,He's making a fortune at this time.
面还没发好。,The dough has not yet fully risen.
药性未发。,The effect of the medicine hasn't shown yet.
灰发甲真透。,The lime reacted with water pretty thoroughly.
这本书是老王的。,This book is Wang’s.
别开他的玩笑了。,Don't make fun of him.
今天开会是你的主席。,You will chair today's meeting.
我爱吃辣的。,I like hot (or peppery) food.
菊花开了，有红的，有黄的。,The chrysanthemums are in bloom; some are red and some yellow.
他说他的，我干我的。,Let him say what he likes; I'll just get on with my work.
火车上看书的看书，聊天的聊天。,On the train some people were reading and some were chatting.
我要两个三毛的。,I want two of the thirty-cent ones. (i.e. two items worth thirty cents each)
无缘无故的，你着什么急？,Why do you get excited for no reason at all?
这里用不着你，你只管睡你的去。,We don't need you here. Just go to bed.
是我打的稿子，他上的色。,It was I who worked up the sketch and he who filled in the colours.
他是昨天进的城。,He went to town yesterday.
我是在车站打的票。,I bought the ticket at the station.
这间屋子是五米的三米，合十五平方米。,"This room is five metres by three, or fifteen square metres."
两个的三个，一共五个。,Two pieces and three pieces—there are five in all.
花生好像变皮了，吃起来没那么香了。,"The peanuts seem to have become soggy, so they don't taste as good."
这些孩子太皮了。,These children are too naughty.
他早就被妈妈骂皮了。,He has long been scolded by his mother to not caring anymore.
恩典白白给予，令我盈泪眼珠。,"Grace He freely gives me, causing my eyes to be filled with tears."
大量财物被盗。,A large amount of property was stolen.
他说的话不可尽信。,You cannot believe everything he said.
后来听见这些呆事，本东自己下店，把帐一盘，却亏空了七百多银子。,
他直起腰来，手背在后面。,"He straightened up, hands on his back."
这个大堂直里有八米，横里有十米。,This hall is 8 meters in length and 10 meters in width.
今天太冷了，双手冻直了。,"Today's so cold, my two hands are frozen numb."
他气得直哆嗦。,He continuously trembled with rage.
他浑身痛得直像被人揍了一顿。,His whole body hurt just like he's taken a beating.
你这条数犹未直。,This account of yours hasn't been settled yet.
恩相，恰才蒙两个承局呼唤林冲，将刀来比看。,"Benevolent Lord, two of your lieutenants brought me here saying you wanted to compare your sword with mine."
你还是省省吧。,You'd better give it up.
中官统领禁省，汉家故事。,That eunuchs manage the restricted palaces is a Han dynasty's old practice.
我们有时去看我们的祖母。,We sometimes visit our grandmother.
我看你最好就出发。,I think you'd better get going.
他们把他看得一文不值。,They treat him like dirt.
他没有看小孩的本事。,He's not competent to look after young children.
那不是真钻石项链，是假的！,"That's not a real diamond necklace, it's just a fake!"
今天真热。,It's so hot today.
那些演员真了不起。,Those actors are really great.
你是我的眼，带我领略四季的变换。,"You are my eyes, leading me to have a taste of the changing seasons."
我只是吃了一眼末！,I just ate a bit!
叫：「孩儿们睁眼。」,"(Sun Wukong) shouted: ""Children, open your eyes!"""
我睡这间房。,I sleep in this room.
让我尽力而不被人记，让我受苦而不被人睹。,"Let me labour and not be remembered;
Let me suffer and not be regarded."
我赶快瞄了一眼时钟，发现快要迟到了。,I quickly glanced at the clock and found out that I am almost late.
你瞅啥呀？,What are you looking at?
我想眯一会儿。,I'd like to rest my eyes for a little while.
伊予我眯一下，我才陪伊出去。,"He let me take a nap for a while, then I accompanied him going out."
你瞎了眼吗？,Are you blind?
瞧他那个傻样儿。,Look at how silly he looks.
他个子矮。,He is short.
张凳太矮喇。,The chair is too low.
我而家砌紧个柜。,I am assembling a shelf now.
周秀花：庞四奶奶也未必敢砸茶馆！,
我硬缠着妈妈一起去看奶奶。,I forcibly bug my mother for us to visit grandmother together.
祝你身体健康！,I wish you good health!
你要单程票还是往返票？,Do you want a single or a return ticket?
我投王先生的票。,I gave my vote to Mr. Wang.
一天有86400秒。,"There are 86,400 seconds in one day."
政府明确宣布了降税的意图。,The government has expressly declared a plan to lower taxes.
虽然这样运费成本增高了，但是减少了被税的风险。,"Although the freight cost has increased in this way, the risk of being taxed has been reduced."
这种话你别再说了。,Don't talk about those types of things anymore.
大家都称他为张师傅。,"Everyone calls him ""Master Zhang""."
我们穿绿色的运动鞋。,We wear green sneakers.
我的心脏突突直跳。,My heart kept jumping pit-a-pat.
拖拉机爬山坡时突突的响声惊动了周围的动物。,The chugging sound of the tractor climbing the hill startled the surrounding animals.
画面窒吓窒吓。,The picture is jittering.
窃以为……,I personally think that...
寻勿到座位末就要立垃海了。,"If you can't find a seat, then you will have to stand."
这家商店童鞋有现货。,The store had children's shoes in stock.
那个病童的情况今天看起来比昨天更不妙。,The sick child looks still worse today than yesterday.
警方端掉贩毒窝点。,The police destroyed the lair of drug lords.
你有笔吗？记一下这个电话号码。,Do you have a pen to write this phone number?
你这个字写错了，这里少了一笔。,The character you have miswritten lacks one stroke here.
我会尽早把这笔钱还给你。,I will return you the money as soon as possible.
二乘二等四。,Two times two equals four.
今天晚上有话剧、唱歌、跳舞等精彩表演。,"Tonight there are wonderful performances like drama, singing, dancing, and more."
中国有北京、上海、天津、重庆等四个直辖市。,"China has four direct-administered municipalities: Beijing, Shanghai, Tianjin, and Chongqing."
你等多久了？,How long have you been waiting?
你等边个啊？,Who are you waiting for?
等我一五一十话你知啦！,Let me tell you in full detail!
花树下，开等满满个花。,"Under flowering tree, [it] is blooming fully."
我好钟意食牛筋丸。,I like to eat beef tendon meatballs.
日元兑港元跌穿六算。,The exchange rate between Japanese Yen and Hong Kong Dollars has dropped below the ratio of 1 JPY to 0.06 HKD [literally: …below the ratio of 6.]
你管他作甚！,Why mind them at all!
台湾人管花生也叫土豆。,Taiwanese people also call peanuts 土豆.
面粉是小麦做的粉。,Flour is a powder made from wheat.
我把头发染成了粉的。,I dyed my hair pink.
这瓷器的手工很精。,The workmanship of the porcelain is very exquisite.
你以为你能玩儿得过他？他可精了。谁算计谁还不一定呢！,You think you could defeat him? He is witted and alert. That who's going to set whom up is not certain yet!
我精拳头有一双相送！,
糖放多了。,Too much sugar is added.
糖吃多了不好。,Eating too much candy is unhealthy.
昨天糖被我爸妈发现了。,Yesterday [my] HRT drugs were discovered by my parents.
我想约你明天一起去吃饭，不知道你有没有时间。,"I'd like to invite you out to have a meal tomorrow, if you have time."
她买了纸、笔等文具。,"She bought paper, pens, and other such stationery."
他用棕色的纸把包裹包起来。,He wrapped brown paper around the package.
来了很久吧，累你等了。,
我今天累了一整天。,I've been working hard all day today.
他会累得精疲力竭的。,He'll wear himself out.
话不要说得太绝。,Don’t say anything uncompromising.
我绝不会抛弃你。,I will definitely never abandon you.
我给你按摩吧。,Let me do a massage for you.
这里有我一直想说给你听的话。,Here are the words I've always wanted to say to you.
给他道歉！,Apologise to him!
我们都给人骗了。,We all got fooled.
你给我闭嘴！,Shut the heck up!
你给我吃！,Eat the heck up!
行李让雨给淋湿了。,The luggage was soaked by rain.
我把椅子给移开了。,I moved the chair away.
经我解释他才明白过来。,Not until I had explained to him did he begin to realize it.
我的网断了。,My Internet stopped working.
裤子太紧了。,These pants are too tight.
把瓶口塞紧。,Stopper the bottle tightly.
她把丈夫的收入管得很紧。,She strictly controls expenditure of her husband's income.
最近手头很紧。,I'm short of money recently.
雨下得紧。,It's raining quite heavily.
伊走了真紧。,He runs really fast.
我读紧书。,I am attending school.
他把毛线缠成球。,He wound the wool yarn into a ball.
那两股线怎么缠在一起了呢？,How did the two strands of string become entangled?
你干嘛一直缠着我？,Why do you keep pestering me?
这个家伙很难缠。,This fellow is very hard to deal with.
请把食物罩起来。,Please cover up the food.
姐姐会罩你。,Sister will have your back.
你满罩哦！,You're so awesome!
香港的夜景真美啊！,Hong Kong's nightscape is so beautiful!
他不就是得了个一百分儿吗？看把他美得！,Didn't he just get a one hundred percent? Look at how pleased it made him!
宁受责于翁，勿失欢于姑也。,"I'd rather be chided by father(-in-law), than lose favour with mother(-in-law)."
人老了记性就差了。,One's memory worsens when age increases.
牛排太老了，我咬不动它。,The steak was so tough I couldn't eat it.
这鸡蛋煮老了，你没掌握好火候。,This egg is hard; you didn't time it properly.
你别老这样！,Stop being always like this!
他人老好了。,"He is such a nice person! [colloquial, somewhat regional]"
她教给我的道理还很多，例如说人死了，不该说死掉，必须说「老掉了」。,"She's taught me many more such lessons, for example, when someone dies, one ought not speak of their ""death"", but rather their ""passing""."
等我老勒仔，坟做勒乡下头去。,When I die I want to have my grave in the countryside.
老张马上来了，我得赶紧收拾一下屋子。,Old Zhang is going to be here any minute. I need to hurry up and straighten the room up a bit.
你考倒我了。,You got me there.
考考你的数学能力。,Testing your maths prowess.
我明天考数学。,I'm having my maths exam tomorrow.
我父亲总是说天助自助者。,My father always said that heaven helps those who help themselves.
如下三者任择其一。,There are three alternatives.
你和他聊了些什么？,What did you chat with him about?
不聊了，我要睡觉了。,"Let's stop chatting, I'm going to sleep."
我听到尖叫声。,I heard someone scream.
铃声将我唤醒。,I was roused by the sound of a bell.
远处传来火车的汽笛声。,The sound of a train's whistle came from a distance.
枪炮声使群众惊慌失措。,The crowd panicked at the sound of the guns.
说声「我爱你」,"say ""I love you"""
请仔细听。,Please listen carefully.
我中意听音乐。,I like to listen to music.
你听有无？,Can you understand what you heard or not?
你敢有听着咱唱歌，唱出艰苦人的苦痛？,"Do you hear us sing, singing the pain of suffering people?"
我劝他别去，他不听。,"I advised him not to go, but he wouldn't listen."
我从不吃肉。,I never eat meat.
这种鱼的肉异常鲜美。,The flesh of this kind of fish has exceptional delicacy.
这桃子肉味甜汁多。,The flesh of the peach was sweet and juicy.
这个人做事真肉。,This person does everything sluggishly.
我不吃肚也不吃肝。,I don't eat tripe or liver.
身体的大部分胆固醇是在肝和肠内由消化的食物制成的。,Most of the body's cholesterol is made in the liver and intestine from digested food.
这游戏很吸引人，但我实在肝不动了。它太肝了。,"This game is attractive, but I really can't grind anymore. It's too grindy."
农场里的小猪长得肥肥的，好可爱。,"The pigs in the farm are quite plump, very cute."
怎止许长？,How can it be of only that length?
一个孩子突然跑过来，几乎碰着他背上的剑尖，使他吓出了一身汗。,
男朋友背着我和其他女生聊天。,My boyfriend chats with other girls behind my back.
你背唐诗背了多少首？,How many Tang poems have you memorized?
这只羊好胚。,This goat has a good frame.
我能跑得很快。,I can run fast.
有人能帮我吗？,Is there anybody who can help me?
涨潮时你不能在这个海滩散步。,You can't walk along this beach at high tide.
公共场所不能吸烟。,You’re not allowed to smoke in public.
你能进入这所大学读书，全靠你父母的关系。,You were able to study at this university all because of your parents.
他没能赶上末班车。,He didn't manage to catch the last train.
看把你能的。,
能不能请你帮个忙？,May I ask a favour of you?
你能再说一遍吗？,Could you repeat that?
枕头脱去。,The pillow slipped out of place.
那个人脸都膀了。,That person's face is swollen.
台上有两个演员。,There are two actors on stage.
今晚看哪个台？,Which channel shall [we] watch?
我与这事无关。,I have nothing to do with the matter.
我爸死后第二日，就正式升格为神明，他会出明牌的传闻，举镇皆知。,"Two days after my father died, he was officially promoted to a god, and the rumors that he made was known to the whole town."
他重获旧职。,He got his former job back.
你的新房子和你的旧房子比起来怎样？,How does your new house compare with your old one?
地毯旧了，但还能用。,The carpet is worn but still serviceable.
我在阁楼上有好几箱旧衣服。,I've got boxes of old clothes in the attic.
色即是空，空即是色。,"Form is emptiness, emptiness is form."
凡童少鉴浅而志盛，长艾识坚而气衰。,"Ordinarily, the youths are shallow-minded yet strong-willed; the elderly are firm in wisdom and dwindling in spirit."
你没有对人家怎么样？你看那姑娘脸都花了！,
天若有情天亦老。,"If Heaven had feelings, Heaven too would grow old."
履历表中定英？,Should my CV be Chinese or English?
草地上有一头牛在吃草。,There is one cow eating grass on the lawn.
这也太草了吧。,Isn't this a bit too hilarious?
莫阁讲矣！,Don't talk about that!
喂，110吗，有人虐菊！,"Hello, is it 110? Someone is abusing their butthole!"
这道菜很对胃口。,This dish is tasty.
每次他来这儿，他都点同样的菜。,"Whenever he comes to this place, he orders the same dish."
我在考虑我晚饭做什么菜。,I'm wondering what to cook for dinner.
他是我的菜！,He is my type!
我好菜啊。,I'm so inferior [to others].
陨石为什么总是落在陨石坑里？,Why do meteors always fall right into craters? (a joke question)
潮水落了。,The tide is low.
鸟儿落在树枝上。,The bird lands on the branch
我落一落楼下。,I will go downstairs for a while.
这个任务落到了我身上。,This task falls onto our shoulders.
我把帘子落下来。,I lowered the blinds.
我把钥匙落家里了。,I left my key(s) at home.
愿大家平安健康。,I wish everybody peace and good health.
火着得很欢。,The fire is burning cheerfully.
窗帘首先着了火。,First the curtains caught on fire.
他骗人的功夫啊是老道极了。当初，我们也着了他的道儿。,
他头一沾枕头就着。,He falls asleep as soon as his head hits the pillow.
书找着了。,The book was (successfully) found.
书找不着。,The book cannot be (successfully) found.
他把发动机起着了。,He (successfully) started the engine.
油灯没油了，点不着了。,"There is no oil in the lamp, I can't light it."
我按呢讲，着无？,Is saying it this way right?
伊饲的猪，逐只着真肥。,Even each pig that he raises are very fat.
我们上着汉语课。,We are attending a Chinese lesson.
我们正在上着汉语课。,We are attending a Chinese lesson.
猫看着鱼。,The cat is looking at the fish.
是什摩心行，推人向泥里着！,What attitude is this? Drag that person into the mud!
如蒙俯允，不胜感激。,I would be most grateful if the favour is granted.
腔口趣味虽然不知讲啥，勿搁实在盖好听。,"The accent is interesting; though not understandable, it actually sounds really nice."
呢件衫好薄。,This shirt is very light.
酒味很薄。,The wine is very weak.
同样的药为什么价格相差很多？,Why do prices for the same medicine differ so much?
辽宁号是中国人民解放军海军的第一艘航空母舰。,Liaoning is the first aircraft carrier of the People's Liberation Army Navy.
天上出虹了。,There's a rainbow in the sky.
鞋底已经蚀晒。,The sole of the shoe has already worn out.
我这波血强。,I'm very strong now.
行，就这么定了。,"OK, it's a deal."
我觉得这方法行。,I think this will work.
我成绩不行。,I have bad grades.
他能四分钟跑一公里，我不行。,He can run a kilometre within 4 minutes. I can't (do that).
阿拉伊抢辰光专门行派力司裤子个。,In our days palace trousers were especially in.
日脚再困难也要行行伊过去。,"However strenuous our life may get, we just have to try and get through it."
所有的钱拢予伊术了了。,He was hoodwinked by him out of all his money.
术一下着到遮。,Run a bit and you'll get here.
哑口拍术。,The mute person made hand signals.
荷枪实弹的士兵穿过林区冲了上来。,"Soldiers came charging through the forest, guns at the ready."
当门被再次猛地推开时，她冲了出去。,She burst out as the door was flung open again.
一个漂亮的小女孩从楼梯上冲下来。,A pretty young girl came hurtling down the stairs.
她很难相信这个问题是冲她来的。,She could hardly believe the question was directed towards her.
他冲服务员招了招手，服务员就急忙跑到桌边。,"He waved at the waiter, who rushed to the table."
拉衡条绳。,Pull the rope taut.
我情愿节衣不愿缩食。,I'd rather economize on clothes than food.
74偶了，偶只能对太阳大呼：表酱紫！偶热死了捏！就让偶开空调8！,I'm so mad! I can only shout to the Sun: Don't be like this! I'm gonna die of the heat! Just let me turn on the A/C!
都系我衰心软。,I had been too kind-hearted/forgiving.
成日衰迟到。,He messes up all the time for being late.
袋好个银包呀。,Keep your purse safe in your pocket!
我被蚊子咬了。,I got bitten by mosquitoes.
我的表被偷了。,My watch has been stolen.
我们的汽车尾巴被撞坏了。,The rear end of our car was smashed.
我被公司裁了。,I got laid off by my company.
谁在这房间里？,Who is inside this room?
我要睡觉。,I want to sleep.
你要不要喝茶？,Do you want some tea?
你要番茄酱吗？,Do you want ketchup?
这本书你还要吗？,Do you still want this book?
他想要一部新手机。,He wants to have a new cell phone.
我要了一瓶啤酒。,I asked for a bottle of beer.
弟弟又跟妈妈要钱了。,My brother asked mom for money again.
他要我给他买本书。,He requested that I buy a book for him.
老板要我马上回覆。,My boss demanded that I reply immediately.
从这里到上海要两个小时。,It takes two hours to reach Shanghai from here.
养大一个孩子要多少钱？,How much does it take to raise a child?
我要走了。,I am going to go. / I am leaving.
我怕我们要迟到了。,I fear that we will be late.
不要喝酒。,Don't drink alcohol.
你今天一定要去看病。,You must go to the doctor today.
你要等一会儿，我的老板现在正忙得不可开交。,You have to wait a moment. My boss is extremely busy now.
要系腰带，就用不着吊带了。,You don't need braces if you're wearing a belt.
鼎覆过来。,The wok flipped over.
我从来没见过那么大的。,I never saw one as big as that before.
你见过未呀？我见过，我真系见过。,Have you ever seen [it]? I've seen [it]; I've really seen [it] (object unspecified).
我们八点钟见。,We'll meet at eight.
有位女士等着要见你。,There's a lady waiting to see you.
胶卷不能见光。,Films cannot be exposed to light.
依你之见，这起谋杀案跟贩毒有关吗？,"In your opinion, could the murder be drug - related?"
见人计爱。,Every person loves it.
月既不解饮，影徒随我身。,"The moon can't drink, but the shadow are along with my body."
我能留个言吗？,Can I leave a message?
全校计有学生520人。,The school has 520 students in total.
鸡母扒粪扫，无事讨事做。,Have nothing else to do.
你记下我的电话号码吧。,Please jot down my phone number.
也许我记错了。,Perhaps I remembered wrongly.
我们家姑娘已经许了人家儿了。,Our miss has already been betrothed.
我考埋呢个试就放假喇。,"After taking this exam, I'll be on vacation."
你话点算好？,What do you say we should do?
几多钱话？,How much did you say it was?
我该去睡了。,I must go to sleep now.
豹再三不饮，飞醉后使酒，便发怒曰：「你违我将令，该打一百！」,"Bao repeatedly declined to drink. Fei was tipsy from all the wine, and angrily said, ""You are in violation of my orders. You deserve 100 lashes!"""
很多人误以为竹子是一种树。,Many people mistakenly believe that bamboo is a tree.
但是我这银子，三日内有个要紧用处，你可别误了我的事！,But I have an important use for this money in three days. Don't mess things up for me!
这就是我所说的。,That’s what I said.
是说你，不是说他。,"I am talking about you, not them."
没有好说的。,There is nothing to say.
你怎么天天都说我？,Why do you constantly criticize me?
我们的老师是谁？,Who is our teacher?
我们迟到是谁的过失？,Whose fault is it that we are late?
他们邀请谁了？,Whom did they invite?
谁能帮我解开安全带？,Can someone help me to undo my seat belt?
有谁愿意跟我一起去吗？,Does anyone want to go with me?
谁想学英文，我就教他。,I'll teach English to whoever wants to learn it.
谈了半天也没有结果。,
不觉朦胧中走至一处，不辨是何地方，忽见那厢来了一僧一道，且行且谈。,
请你不要把我当傻子。,Please don't treat me like a fool.
我请他帮我买东西。,I asked him to buy something for me.
如果你得闲，我想请你饮茶。,"If you are free, I would like to ask you out for yum cha."
展护卫，请圣旨！,"Royal Guard Zhan, bring out the royal edict!"
他会讲英语，而且讲得好。,"He can speak English, and what's more he speaks it very well."
多谢救命之恩。,Thank you for saving my life.
试证此命题。,Try to prove this proposition.
然而有证不代表有药，一闻去哪整，要么北京上海见，要么就找灰色。,
中国人好识食。中国人好识做生意。,"Chinese people really know how to eat (to appreciate, to be discerning, to enjoy, to be skilled, to savor). Chinese are good at business."
今天我们就议一下军情。,Today we will discuss the military situation.
这篇文章值得一读。,This article is worth reading.
这个字怎么读？,How do you pronounce this character?
妈妈不让我去。,Mum won't let me go.
让我们联合一起把这项工作做好。,Let's team up to get this task finished.
医生让我打针。,The doctor told me to get a shot.
弟弟还小，你就让着他一点吧。,"Your brother is still little, why don't you just let him have his way a bit."
孔明弃车步行。忽到一山，望见一谷，形如长蛇，皆危峭石壁，并无树木。,
竖起你们的耳朵。,Perk up your ears.
离他们很远、有一大群猪吃食。,Now there was afar off from them a herd of many swine feeding. (English Revised Version)
你这只猪，别挡路！,"Out of my way, pig!"
君子爱财，取之有道。,A nobleman makes fortune in a noble way.
光头李，你什么意思？这俩货什么玩意儿，我压根就不认识！,
做人不要这么贪心。,Don't be so greedy in life.
杨志道：「祖上留下宝刀，要卖三千贯。」,"Yang Zhi said: ""This is a precious sword left by my ancestors; I will sell it for three thousand strings of cash."""
他岳丈名唤封肃，本贯大如州人氏。,"His father-in-law was a man named Feng Su, whose native place was Daruzhou."
那件衣服很贵，是绸子的。,That dress is expensive. It's made of silk.
能否给我些贵公司更详细的资料？,Could you give me more details about your company?
我买了辆新车。,I bought a new car.
这本书不卖。,This book is not for sale.
他们在集市卖蔬菜和鸡蛋。,They sell vegetables and eggs in the marketplace.
这个王八蛋居然把我给卖了！,The bastard unexpectedly sold me out!
他走在我的面前。,He walked before me.
不要走得那么快！,Don't walk so fast!
走着去火车站要多久？,How long does it take to walk to the station?
请你把所有垃圾拿走。,Please take away all the trash.
走了几个人。,A few people has left.
煤气管道走气了。,Gas is leaking from the pipe.
我的手表不走了。,My watch doesn't work.
我的对手走了一步妙棋。,My opponent made a clever move (chess).
该你走了。,It's your move.
听说他是昨天晚上走的，走得很安详。,It is said that he passed away last night peacefully.
钢琴走调了，音色很难听。,The piano was out of tune; it sounded very bad.
我们可以走这边进去。,We can get in from this side.
他们两家走得很近。,The two families often visit each other.
我买得起车，但买不起房。,"I can afford to buy a car, but not a house."
趁天气好，快出去玩儿吧。,"While the weather's good, go outside and play."
我们会赶在他们前面一些。,We will be that much ahead of them.
年轻人喜欢赶潮流。,Young people are keen on following the trend.
我并不赶时间。,I'm not in a hurry.
天黑了，学生们赶着回家。,"It was getting dark, so the students rushed home."
我们要赶快去赶公共汽车。,We'll hurry and catch a bus.
别忘了6点前把羊赶进羊圈。,Don't forget to drive the sheep in before 6 o'clock.
咱们的婚事赶春节再办吧。,Let's put off our wedding till the Spring Festival.
沿地云游数十遭，到处闲行百余趟。,
店里坐着许多人，老栓也忙了，提着大铜壶，一趟一趟的给客人冲茶。,
我先跑了。,I'm leaving now.
不要跟着我！,Stop following me!
你来跟大家说说这次旅游的经历。,Come tell everyone about your experience in the trip.
弟弟跟我都喜欢游泳。,My brother and I both like to swim.
跟履端来！,Bring the shoes over here!
跟门闭下。,Close the door.
接到以后，又跟女子通送到房里去。,
这正如地上的路；其实地上本没有路，走的人多了，也便成了路。,"It is just like roads across the earth. For actually the earth had no roads to begin with, but when many men pass one way, a road is made."
回家的路很远。,It's a long journey to return home.
还有一公里的路要走。,There's one more kilometer ahead (of the path)
将来繁凡成了名了，汽车开着，是吧，别墅住着，整天一帮小姑娘踪着。,
哥哥只有在自己真没钱的时候才会蹭我的钱。,My elder brother only freeloads on my money when he really does not have any money of his own.
伊小辰光垃上海读书个，必过现在蹲垃北京。,"He used to study in Shanghai when he was young, but he now lives in Beijing."
泥很软，我们的脚都陷进去了。,The mud was soft and our feet sank in.
他的态度软了下来。,His attitude has softened.
他的声音很软。,His voice is very gentle.
她的两腿发软。,Her legs felt weak.
我的收入较父母多。,My salary is more than my parents'.
你去较准个钟呀。,You go and put right that clock.
你可以载我去火车站吗？,Can you drive me to the train station?
先去载个软件。,Download the software first.
我又胖了一轮儿！,
轮到你了。,It's your turn.
我比他大一轮。,I'm 12 years older than him.
智者竭其智，勇者奋其勇，富者输其财，举国一致，众志成城。,"The wise exhaust their wisdom; the brave consume their bravery; the wealthy lose their wealth; [when] the entire country shares a common goal, the will of the masses forge a stronghold."
假日到河滩上转转，看见许多孩子在放风筝。,"At the holiday, I went strolling on the riverbank where I saw some kids flying kites."
我谢谢您！我这儿正没有辙呢！,Thank you! I was just worrying about having no way to do this!
来人啊，备轿！,"Men, get my palanquin ready!"
我不吃辣。,I don't eat spicy food.
譬如玉太尊所办的人，大约十分中九分半是良民，半分是这些小盗。,
李开这人太坏，太霸道，惹急了老子找人把他办了。,
光头得意洋洋：「你看不出个眉眼高低啊？去办几个人，你信不？」,
威哥，点解公司忽然间会辞你呢？,"Brother Wai, why would your company suddenly fire you?"
得闲仲系钟意饮返两杯。,Nothing beats downing two glasses in my spare time.
车厢入便好迫。,It is very crowded inside the train.
我日日返工都要迫巴士。,I have to ride a crowded bus every day when I go to work.
酒不醉人人自醉，色不迷人人自迷。,"Alcohol does not intoxicate men, men are intoxicated by themselves; women do not infatuate men, men are infatuated by themselves."
冷雨送斜阳。,The cold rain sees off the setting sun.
这份礼物送给你。,This is a gift for you.
我阿婆好中意用腐乳送粥。,My grandma really likes to eat congee with fermented bean curd.
呢碟麻婆豆腐送饭一流。,This mapo tofu goes great with rice.
看这本书。,Read this book.
这是一个老故事。,This is an old story.
这不是你的书，这是我的书。,"This is not your book, it's mine."
这个就很好，就买这个吧。,This is really good. Buy this one.
这可不行！,This is not okay!
我这就去。,I'll go now.
结束了沿线八个县不通铁路的历史。,Ending the history of railroads not passing through these eight counties.
这通食无？,Can this be eaten?
只条路限五十速。,The speed limit on this road is 50 km/h.
我们忘了把电脑连上网线了。,We forgot to connect the computer to the network cable.
新运河将两条河连在一起。,The new canal links the two rivers.
连我在内共有十人出席。,There were ten present including myself.
这种新鞭炮叫爆珠，可以连响。,This new firecracker called Bao Zhu could sound continuously.
甚至连孩子都看得懂这本书。,Even a child can understand the book
一个女孩进了房间。,A girl came into the room.
她把买来的东西装进了轿车。,She loaded her shopping into the car.
他把我叫进他的办公室。,He called me into his office.
我给你进一句忠告吧。,Let me give you a piece of advice.
他踢进了一个球。,He kicked a goal.
我妈逼我学钢琴。,My mom forced me to learn the piano.
请再说一遍。,Could you please repeat (what you just said)?
多遍编译能够使优化工作做得更多、更充分，可获得更高质量的目标程序。,"Multiple-pass compilation allows for more extensive and thorough optimization, resulting in a higher quality target program."
坐这艘船过河很安全。,It is safe to cross the river in this boat.
请您赶快过安检，现在已经登机了。,"Please hurry up to pass the security check, it's already boarding time."
过了百货公司便向右拐。,Turn to the right after passing the department store.
时间过得很快。,Time flies quickly.
过了许多年我们才偶然相逢。,Many years were to pass before we crossed our paths again.
我们把这篇稿子再过一遍。,Let's go over the draft once again.
我成日都会行过呢间士多。,I always walk by this corner store.
坐过站了！,I rode past my station!
我今天早上睡过了。,I overslept this morning.
